ID,Name,Studio,Budget_Dummy,Oscar Winner?,Oscar_Category,Unique ID
58,Fabricated City,CJ,"$2,000,000 ",,,58 Fabricated City
59,Gold,Wein.,"$2,000,000 ",,,59 Gold
60,Live By Night,WB,"$2,000,000 ",,,60 Live By Night
61,Neruda,Orch.,"$2,000,000 ",,,61 Neruda
62,Assassin's Creed,Fox,"$125,000,000 ",,,62 Assassin's Creed
63,Land of Mine,SPC,"$2,000,000 ",,,63 Land of Mine
64,The Eagle Huntress,SPC,"$2,000,000 ",,,64 The Eagle Huntress
65,Journey to the West: The Demons Strike Back,Sony,"$2,000,000 ",,,65 Journey to the West: The Demons Strike Back
66,The Comedian,SPC,"$1,000,000 ",,,66 The Comedian
67,XX (2017),Magn.,"$1,000,000 ",,,67 XX (2017)
68,Mr. Gaga: A True Story of Love and Dance,Abr.,"$1,000,000 ",,,68 Mr. Gaga: A True Story of Love and Dance
69,Under the Sea 3D,WB,"$1,000,000 ",,,69 Under the Sea 3D
70,Born to Be Wild (IMAX),WB,"$1,000,000 ",,,70 Born to Be Wild (IMAX)
71,Space Station 3-D (IMAX),Imax,"$1,000,000 ",,,71 Space Station 3-D (IMAX)
72,The Lure,Jan.,"$1,000,000 ",,,72 The Lure
73,The Trouble with Terkel (2017),Indic.,"$1,000,000 ",,,73 The Trouble with Terkel (2017)
74,Chapter & Verse,Pala.,"$1,000,000 ",,,74 Chapter & Verse
75,Ocean Waves,GK,"$1,000,000 ",,,75 Ocean Waves
76,The Love Witch,Osci.,"$1,000,000 ",,,76 The Love Witch
77,Pelle the Conqueror (2017 re-release),FM,"$1,000,000 ",,,77 Pelle the Conqueror (2017 re-release)
78,Saving Banksy,PDF,"$1,000,000 ",,,78 Saving Banksy
79,Massacre on Aisle 12,Indic.,"$1,000,000 ",,,79 Massacre on Aisle 12
80,Mifune: The Last Samurai,Strand,"$1,000,000 ",,,80 Mifune: The Last Samurai
81,We Are the Flesh,Arrow,"$1,000,000 ",,,81 We Are the Flesh
82,Under the Sun (2016),Icar.,"$1,000,000 ",,,82 Under the Sun (2016)
83,Journey to the South Pacific,Imax,"$1,000,000 ",,,83 Journey to the South Pacific
84,The Ardennes,FM,"$1,000,000 ",,,84 The Ardennes
85,Logan,Fox,"$4,000,000 ",,,85 Logan
86,The Shack,LG/S,"$25,000,000 ",,,86 The Shack
87,Before I Fall,ORF,"$10,000,000 ",,,87 Before I Fall
88,Table 19,FoxS,"$75,000,000 ",,,88 Table 19
89,"Tim Timmerman, Hope of America",Purd.,"$9,000,000 ",,,"89 Tim Timmerman, Hope of America"
90,The Last Word,BST,"$10,000,000 ",,,90 The Last Word
91,The Women's Balcony,Men.,"$200,000,000 ",,,91 The Women's Balcony
92,Donald Cried,Orch.,"$10,000,000 ",,,92 Donald Cried
93,Ugetsu (2017 re-release),Jan.,"$47,000,000 ",,,93 Ugetsu (2017 re-release)
94,The Freedom to Marry,Argo.,"$110,000,000 ",,,94 The Freedom to Marry
95,Junction 48,Orch.,"$10,000,000 ",,,95 Junction 48
96,To the Arctic (IMAX),WB,"$10,000,000 ",,,96 To the Arctic (IMAX)
97,On The Map,Jude,"$10,000,000 ",,,97 On The Map
98,"Kill Me, Deadly",Indic.,"$180,000,000 ",,,"98 Kill Me, Deadly"
99,1898: Los ultimos de Filipinas,Sony,"$1,000,000 ",,,99 1898: Los ultimos de Filipinas
100,Love & Taxes,Abr.,"$45,000,000 ",,,100 Love & Taxes
101,The Grace of Jake,Indic.,"$4,000,000 ",,,101 The Grace of Jake
102,Contemporary Color,Osci.,"$25,000,000 ",,,102 Contemporary Color
103,Lovesong,Strand,"$10,000,000 ",,,103 Lovesong
104,Saigon Bodyguards,CJ,"$75,000,000 ",,,104 Saigon Bodyguards
105,The Fiance,Indic.,"$9,000,000 ",,,105 The Fiance
106,Sophie and the Rising Sun,Mont.,"$10,000,000 ",,,106 Sophie and the Rising Sun
107,Island of Lemurs: Madagascar (IMAX),WB,"$200,000,000 ",,,107 Island of Lemurs: Madagascar (IMAX)
108,Staying Vertical,Strand,"$9,000,000 ",,,108 Staying Vertical
109,Forest for the Trees (2017 re-release),FM,"$10,000,000 ",,,109 Forest for the Trees (2017 re-release)
